Vehicle Class,Coverage,Renew Offer Type,EmploymentStatus,Marital Status,Education,Number of Policies,Monthly Premium Auto,Total Claim Amount,Income,Customer Lifetime Value
Two-Door Car,Basic,Offer2,Employed,Married,Bachelor,1,63,76.629988,31678,2479.920134
SUV,Extended,Offer2,Employed,Single,Bachelor,1,130,624,48567,5015.009472
SUV,Basic,Offer1,Disabled,Married,College,3,107,513.6,14616,8126.766397
SUV,Extended,Offer1,Unemployed,Single,Bachelor,8,135,972,0,9354.128045
Four-Door Car,Basic,Offer1,Employed,Married,High School or Below,1,65,312,35795,2581.022016
Four-Door Car,Basic,Offer1,Employed,Married,College,1,69,331.2,53882,2790.682957
Four-Door Car,Basic,Offer1,Unemployed,Married,College,2,63,117.744416,0,9449.745947
Four-Door Car,Extended,Offer4,Unemployed,Married,High School or Below,2,82,554.522969,0,8930.139728
Four-Door Car,Extended,Offer2,Employed,Married,Bachelor,4,90,432,37840,7057.888812
Two-Door Car,Basic,Offer4,Employed,Married,Master,2,71,169.287785,53736,8596.916624
SUV,Premium,Offer1,Unemployed,Single,High School or Below,1,161,1159.2,0,5884.308607
Four-Door Car,Extended,Offer2,Employed,Divorced,Doctor,1,88,91.834668,30817,3436.134281
SUV,Basic,Offer2,Employed,Married,Bachelor,1,112,163.9498,75453,4439.677708
SUV,Premium,Offer2,Employed,Married,Master,2,140,422.494292,25167,51016.06704
Two-Door Car,Basic,Offer1,Unemployed,Married,Bachelor,3,70,336,0,5292.632491
Four-Door Car,Basic,Offer2,Employed,Married,College,5,63,259.361117,72672,5035.744643
Four-Door Car,Basic,Offer1,Employed,Divorced,College,2,73,101.489422,50854,11516.40557
SUV,Extended,Offer1,Unemployed,Married,Bachelor,8,133,945.169882,0,9902.392683
Four-Door Car,Extended,Offer1,Employed,Married,Bachelor,3,89,50.528355,88891,7255.953792
Four-Door Car,Basic,Offer3,Employed,Married,Bachelor,2,66,86.461582,76358,23594.6802
Four-Door Car,Basic,Offer1,Unemployed,Married,Bachelor,3,62,740.838216,0,4733.507343
Four-Door Car,Basic,Offer1,Employed,Divorced,Master,5,73,19.626306,46133,5718.276608
SUV,Basic,Offer3,Unemployed,Married,College,5,118,566.4,0,8586.662939
Four-Door Car,Premium,Offer1,Unemployed,Single,High School or Below,9,103,741.6,0,7215.821106
Four-Door Car,Extended,Offer1,Unemployed,Single,High School or Below,4,88,633.6,0,6277.011679
Four-Door Car,Premium,Offer2,Unemployed,Single,High School or Below,1,102,976.112456,0,3472.369996
Four-Door Car,Extended,Offer2,Employed,Married,College,1,96,185.070399,23459,3847.352801
Four-Door Car,Extended,Offer1,Unemployed,Married,Bachelor,5,93,446.4,0,6832.111972
Two-Door Car,Basic,Offer4,Employed,Married,High School or Below,1,68,51.822348,78889,2736.944466
SUV,Basic,Offer2,Employed,Single,Master,1,107,513.6,29462,4170.687348
Four-Door Car,Premium,Offer2,Employed,Married,Master,1,103,494.4,60010,4179.488639
Four-Door Car,Basic,Offer2,Unemployed,Single,Bachelor,2,70,491.112176,0,19511.99782
Sports Car,Basic,Offer2,Medical Leave,Married,College,6,111,225.437098,12780,8193.750001
Four-Door Car,Basic,Offer1,Employed,Divorced,College,1,74,145.365072,38870,2877.813846
Four-Door Car,Basic,Offer3,Employed,Married,Bachelor,4,72,345.6,27048,5697.175238
Two-Door Car,Basic,Offer4,Unemployed,Married,Master,1,72,345.6,0,2570.761765
Four-Door Car,Basic,Offer1,Employed,Married,Bachelor,6,66,248.405684,93818,5380.312218
Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,3,72,345.6,41043,5643.802354
Four-Door Car,Extended,Offer2,Medical Leave,Married,College,1,95,915.188647,19121,3645.464325
Four-Door Car,Basic,Offer1,Disabled,Single,High School or Below,2,63,302.4,14533,11172.49931
Two-Door Car,Basic,Offer1,Employed,Single,College,3,70,42.238585,81064,5328.835851
Two-Door Car,Basic,Offer2,Unemployed,Married,Bachelor,1,73,350.4,0,2693.75925
Sports Car,Extended,Offer2,Medical Leave,Married,Doctor,8,132,780.941649,23053,10127.77087
SUV,Basic,Offer3,Employed,Married,Bachelor,2,115,244.086665,51437,22754.66137
Four-Door Car,Basic,Offer2,Employed,Married,High School or Below,1,70,405.883346,39393,2755.221411
Four-Door Car,Basic,Offer1,Unemployed,Married,High School or Below,1,69,331.2,0,2563.582441
SUV,Extended,Offer1,Employed,Married,College,1,125,537.315879,73809,5015.643575
Sports Car,Basic,Offer2,Unemployed,Single,High School or Below,5,110,686.90827,0,8207.858272
Four-Door Car,Basic,Offer2,Medical Leave,Divorced,Master,7,74,355.061143,14306,5264.361755
Two-Door Car,Premium,Offer1,Employed,Married,High School or Below,7,112,537.6,40867,8920.463999
SUV,Basic,Offer2,Unemployed,Single,College,2,111,1018.808223,0,11828.61437
SUV,Basic,Offer2,Unemployed,Married,Bachelor,1,102,660.430456,0,3567.503755
SUV,Basic,Offer2,Disabled,Married,High School or Below,2,119,571.2,11432,13466.92071
SUV,Basic,Offer1,Medical Leave,Married,College,7,113,586.390393,20588,8653.302322
SUV,Extended,Offer1,Unemployed,Single,College,1,126,656.57161,0,4313.34397
Four-Door Car,Extended,Offer4,Employed,Married,Doctor,2,79,127.322656,53375,9566.839884
Four-Door Car,Basic,Offer2,Employed,Married,College,2,74,355.2,83846,8717.049833
Four-Door Car,Basic,Offer3,Unemployed,Married,College,2,61,292.8,0,6048.574243
Four-Door Car,Basic,Offer2,Employed,Married,College,9,72,476.156957,41770,5720.765064
Four-Door Car,Basic,Offer1,Medical Leave,Divorced,High School or Below,1,65,329.206567,25965,2491.257604
SUV,Basic,Offer2,Unemployed,Married,Bachelor,1,102,660.430456,0,3567.503755
Four-Door Car,Extended,Offer1,Unemployed,Married,Bachelor,1,96,438.661509,0,3571.346578
Four-Door Car,Basic,Offer2,Employed,Married,College,1,69,331.2,54010,2734.439188
SUV,Basic,Offer1,Employed,Single,High School or Below,2,118,647.954067,36301,32306.28587
SUV,Extended,Offer1,Unemployed,Single,College,2,126,604.8,0,13727.79972
Two-Door Car,Basic,Offer1,Employed,Divorced,College,1,74,195.405949,94362,2957.102851
SUV,Extended,Offer1,Employed,Married,High School or Below,1,139,545.291103,51705,5555.492159
SUV,Premium,Offer2,Employed,Married,High School or Below,5,154,739.2,60774,12269.41862
Four-Door Car,Basic,Offer1,Disabled,Married,Bachelor,5,61,292.8,27357,4688.459288
Two-Door Car,Basic,Offer2,Employed,Married,College,1,62,297.6,67282,2487.729726
Four-Door Car,Extended,Offer2,Employed,Married,High School or Below,8,85,733.21126,66627,6832.36853
Four-Door Car,Extended,Offer4,Employed,Single,Bachelor,2,82,502.580472,67772,9654.523307
SUV,Basic,Offer1,Unemployed,Single,College,9,103,741.6,0,6729.867925
Four-Door Car,Basic,Offer4,Employed,Married,College,5,64,138.961963,61972,5041.447024
SUV,Extended,Offer2,Medical Leave,Married,Bachelor,1,124,839.348464,13037,4726.869327
SUV,Extended,Offer1,Medical Leave,Married,College,6,126,604.8,22166,9799.175061
Two-Door Car,Extended,Offer2,Employed,Married,Bachelor,6,96,469.030907,27293,7614.137981
Four-Door Car,Basic,Offer1,Unemployed,Single,Bachelor,2,63,302.4,0,6334.466403
SUV,Extended,Offer1,Unemployed,Single,Bachelor,3,136,1237.257917,0,8818.051498
Two-Door Car,Basic,Offer3,Employed,Married,High School or Below,5,69,331.2,83576,5557.934118
Sports Car,Basic,Offer1,Employed,Married,Bachelor,1,119,342.471939,77846,4798.240889
Four-Door Car,Basic,Offer3,Employed,Single,College,9,63,329.494,48139,4974.8733
Two-Door Car,Extended,Offer1,Employed,Single,High School or Below,1,85,612,37138,3347.028677
Four-Door Car,Basic,Offer1,Unemployed,Single,College,1,70,425.266308,0,2393.915369
Four-Door Car,Basic,Offer1,Unemployed,Married,High School or Below,1,73,298.671049,0,2753.780996
Four-Door Car,Basic,Offer1,Unemployed,Married,High School or Below,3,62,297.6,0,4777.121596
Four-Door Car,Basic,Offer2,Employed,Married,High School or Below,4,68,325.866271,83208,5459.216794
Four-Door Car,Basic,Offer2,Employed,Married,High School or Below,1,65,312,21190,2459.171724
Four-Door Car,Basic,Offer2,Employed,Married,College,7,72,308.981664,51148,5710.333115
SUV,Basic,Offer1,Employed,Married,College,4,105,339.017729,67128,8406.763319
Four-Door Car,Basic,Offer1,Unemployed,Married,Bachelor,5,73,350.4,0,5504.139033
Four-Door Car,Extended,Offer4,Employed,Married,College,3,91,14.386157,83221,7305.936433
Two-Door Car,Extended,Offer2,Employed,Married,High School or Below,3,80,384,44368,6366.225775
SUV,Extended,Offer1,Employed,Married,College,8,123,221.048602,36225,9767.936882
Two-Door Car,Premium,Offer4,Employed,Married,Master,1,102,423.819864,38884,4090.750678
Four-Door Car,Extended,Offer3,Medical Leave,Married,Doctor,1,90,372.652536,15144,3515.831889
Four-Door Car,Extended,Offer1,Unemployed,Single,College,8,83,628.023494,0,5955.544552
Four-Door Car,Basic,Offer1,Medical Leave,Single,Bachelor,1,69,331.2,29735,2453.570794
Four-Door Car,Basic,Offer3,Unemployed,Married,Bachelor,2,61,439.2,0,11510.36033
Four-Door Car,Extended,Offer1,Retired,Divorced,High School or Below,2,90,571.479602,11828,10083.48688
SUV,Basic,Offer2,Employed,Married,College,2,118,612.300581,28432,13869.92705
Two-Door Car,Extended,Offer2,Employed,Married,High School or Below,1,99,171.830049,88701,3963.394851
Two-Door Car,Basic,Offer1,Unemployed,Single,High School or Below,3,67,482.4,0,4660.006868
SUV,Premium,Offer3,Unemployed,Married,High School or Below,3,165,792,0,12500.84302
SUV,Extended,Offer3,Unemployed,Single,College,2,126,907.2,0,12520.97907
Four-Door Car,Basic,Offer4,Employed,Single,College,2,71,72.862304,64127,8343.751519
Four-Door Car,Basic,Offer3,Employed,Divorced,Bachelor,1,64,307.2,37612,2537.969253
Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,2,66,316.8,84365,23981.54344
Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,3,63,86.599774,67371,5059.325681
SUV,Basic,Offer2,Employed,Married,High School or Below,4,115,796.130111,47297,8840.193762
SUV,Basic,Offer1,Unemployed,Divorced,College,1,118,566.4,0,4019.384424
Four-Door Car,Basic,Offer4,Disabled,Married,Bachelor,1,68,326.4,21603,2585.937023
Sports Car,Basic,Offer3,Unemployed,Single,High School or Below,1,106,879.42749,0,3732.568536
Luxury Car,Extended,Offer1,Employed,Married,College,2,214,1027.2,71210,25807.063
SUV,Basic,Offer1,Employed,Single,High School or Below,1,106,165.237444,77853,4228.248035
Four-Door Car,Extended,Offer3,Unemployed,Single,College,2,93,669.6,0,9983.128441
SUV,Basic,Offer1,Employed,Married,High School or Below,3,113,441.992043,91763,9161.655119
Two-Door Car,Basic,Offer2,Unemployed,Married,College,1,65,149.241472,0,2436.839358
Four-Door Car,Basic,Offer1,Unemployed,Single,Bachelor,2,69,678.209827,0,7457.468107
Four-Door Car,Basic,Offer3,Unemployed,Married,College,1,71,244.587596,0,2444.741307
Four-Door Car,Premium,Offer2,Employed,Married,High School or Below,6,107,438.069458,78077,8578.364528
Four-Door Car,Extended,Offer3,Unemployed,Single,High School or Below,2,93,669.6,0,20534.39224
Four-Door Car,Extended,Offer2,Employed,Married,Doctor,1,99,475.2,37384,4014.453113
Two-Door Car,Extended,Offer4,Employed,Married,Bachelor,1,95,614.367195,43334,3633.05403
Two-Door Car,Basic,Offer1,Employed,Single,High School or Below,1,69,323.865715,86650,2732.652352
SUV,Basic,Offer2,Employed,Married,High School or Below,3,111,285.84958,48736,8860.654206
SUV,Basic,Offer1,Unemployed,Married,College,2,102,489.6,0,22103.5072
SUV,Extended,Offer2,Employed,Married,High School or Below,4,132,260.627146,80046,10633.50496
Four-Door Car,Extended,Offer2,Employed,Married,High School or Below,1,83,26.314753,40348,3313.014405
Two-Door Car,Extended,Offer1,Unemployed,Single,Bachelor,2,92,441.6,0,18892.19767
Four-Door Car,Basic,Offer3,Employed,Divorced,High School or Below,2,74,332.224293,81713,26864.20332
Two-Door Car,Basic,Offer1,Employed,Married,College,1,74,355.2,78561,3020.424822
Two-Door Car,Basic,Offer2,Unemployed,Single,High School or Below,1,62,446.4,0,2086.610957
Four-Door Car,Basic,Offer3,Employed,Married,High School or Below,1,68,541.695658,32808,2688.863963
SUV,Basic,Offer1,Employed,Married,College,9,104,499.2,23666,8355.958185
Four-Door Car,Basic,Offer1,Unemployed,Single,Bachelor,2,71,340.8,0,7637.111954
Luxury SUV,Extended,Offer1,Employed,Married,Bachelor,2,201,381.306996,39837,23893.3041
Four-Door Car,Basic,Offer2,Unemployed,Single,High School or Below,7,69,599.152722,0,4847.24253
Four-Door Car,Basic,Offer2,Unemployed,Single,Bachelor,6,65,312,0,4433.694028
Four-Door Car,Basic,Offer2,Employed,Married,Master,1,69,56.60333,36650,2725.356404
Four-Door Car,Basic,Offer1,Unemployed,Single,College,5,71,859.599411,0,5170.811494
Four-Door Car,Basic,Offer2,Employed,Divorced,College,1,72,267.415871,74034,2862.180262
Two-Door Car,Extended,Offer4,Employed,Married,Bachelor,3,84,604.8,31517,6685.797205
Four-Door Car,Extended,Offer1,Employed,Single,Master,1,91,25.299,49080,3585.884123
Four-Door Car,Basic,Offer1,Unemployed,Divorced,Bachelor,3,62,114.097383,0,4407.769164
Four-Door Car,Basic,Offer1,Employed,Married,Bachelor,5,71,228.443418,29629,5433.214031
Four-Door Car,Basic,Offer4,Employed,Married,College,3,64,165.002742,85522,5126.836814
Four-Door Car,Basic,Offer4,Unemployed,Single,High School or Below,9,72,518.4,0,4846.322223
Two-Door Car,Extended,Offer2,Employed,Married,Master,2,87,119.630789,28935,20631.15177
Four-Door Car,Premium,Offer1,Unemployed,Single,High School or Below,2,114,820.8,0,35944.71048
SUV,Basic,Offer1,Employed,Married,Master,1,115,764.592151,94804,4583.748377
Four-Door Car,Basic,Offer4,Unemployed,Single,High School or Below,8,65,463.382118,0,4484.254754
Four-Door Car,Basic,Offer2,Employed,Divorced,College,1,63,302.4,30216,2452.059049
Two-Door Car,Extended,Offer3,Employed,Single,Bachelor,7,96,450.596865,28848,7427.501786
Sports Car,Extended,Offer1,Unemployed,Single,High School or Below,1,127,914.4,0,4573.998134
SUV,Basic,Offer1,Employed,Married,Master,3,101,253.364333,38702,8024.992989
Four-Door Car,Extended,Offer4,Employed,Married,High School or Below,1,79,379.2,52082,3145.456489
Two-Door Car,Basic,Offer1,Employed,Married,College,2,73,15.001594,41503,11610.25439
Two-Door Car,Basic,Offer4,Employed,Divorced,Master,1,63,273.691831,58237,2393.813375
Four-Door Car,Extended,Offer1,Retired,Single,College,2,97,465.6,13663,25464.82059
SUV,Basic,Offer2,Employed,Married,High School or Below,1,110,316.876671,33488,4314.174392
Sports Car,Premium,Offer1,Unemployed,Single,High School or Below,8,155,1116,0,10915.35877
Four-Door Car,Premium,Offer1,Unemployed,Divorced,College,4,118,566.4,0,8341.623748
SUV,Basic,Offer1,Employed,Married,College,1,118,566.4,58089,4686.469674
SUV,Basic,Offer1,Employed,Married,College,2,114,432.409662,89771,36516.0456
Two-Door Car,Extended,Offer1,Unemployed,Single,High School or Below,7,79,407.440238,0,5568.947534
Four-Door Car,Premium,Offer1,Unemployed,Single,Bachelor,1,118,566.4,0,4048.722426
Four-Door Car,Basic,Offer2,Employed,Divorced,College,1,73,350.4,51020,2907.898828
Four-Door Car,Extended,Offer2,Employed,Married,Master,1,93,391.210704,85751,3768.371028
Four-Door Car,Basic,Offer4,Employed,Married,Bachelor,3,63,302.4,68331,5033.390798
Four-Door Car,Extended,Offer1,Employed,Divorced,Bachelor,8,78,414.519064,53998,5898.733666
Two-Door Car,Extended,Offer1,Unemployed,Single,Bachelor,4,89,640.8,0,5553.362689
Sports Car,Basic,Offer1,Employed,Married,High School or Below,2,115,295.335363,53602,37243.63312
Four-Door Car,Extended,Offer2,Employed,Married,Bachelor,1,83,131.828507,70410,3323.092454
SUV,Premium,Offer4,Employed,Married,Bachelor,9,193,19.46445,46338,15306.22493
Four-Door Car,Basic,Offer1,Disabled,Married,Bachelor,2,70,491.65337,23129,7880.337212
SUV,Basic,Offer1,Employed,Married,College,3,101,289.181979,98350,7960.007541
Two-Door Car,Basic,Offer3,Employed,Married,Master,1,65,281.405931,83838,2628.657528
Four-Door Car,Basic,Offer4,Medical Leave,Married,College,1,63,125.274351,18944,2416.542359
Two-Door Car,Extended,Offer3,Unemployed,Single,High School or Below,6,88,633.6,0,6051.637445
Four-Door Car,Basic,Offer2,Employed,Married,College,8,74,355.2,22061,5878.199296
Four-Door Car,Basic,Offer1,Retired,Married,Bachelor,3,74,443.772927,13215,5271.372558
Sports Car,Basic,Offer4,Employed,Married,High School or Below,2,103,494.4,21542,20266.49877
Four-Door Car,Basic,Offer1,Medical Leave,Married,College,4,70,336,23908,5297.151805
Four-Door Car,Extended,Offer2,Employed,Divorced,College,1,81,207.75186,62873,3230.576665
Four-Door Car,Basic,Offer4,Employed,Married,College,1,63,302.4,36635,2486.064902
Two-Door Car,Extended,Offer1,Unemployed,Single,High School or Below,7,90,432,0,6285.305195
Four-Door Car,Basic,Offer3,Employed,Married,Bachelor,9,69,431.847824,57883,5580.818466
Four-Door Car,Extended,Offer2,Employed,Single,Bachelor,3,85,408,77001,6768.997027
Four-Door Car,Basic,Offer1,Employed,Married,High School or Below,1,71,340.8,39161,2725.680297
Two-Door Car,Basic,Offer2,Employed,Married,High School or Below,2,71,458.568921,85355,8405.752991
Sports Car,Basic,Offer1,Unemployed,Divorced,College,2,109,852.460341,0,16152.90489
Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,1,71,244.401453,73339,2821.352024
Two-Door Car,Extended,Offer1,Employed,Married,Bachelor,2,98,470.4,33879,15428.01044
Sports Car,Basic,Offer3,Employed,Married,High School or Below,1,113,681.505066,59556,4540.381153
Four-Door Car,Basic,Offer3,Unemployed,Single,Bachelor,2,63,676.391482,0,6613.973653
SUV,Basic,Offer1,Medical Leave,Married,Bachelor,4,102,489.6,13154,7714.60093
Four-Door Car,Premium,Offer1,Employed,Divorced,College,9,101,484.8,26118,7974.949597
Four-Door Car,Extended,Offer3,Employed,Married,High School or Below,1,80,87.861666,68776,3218.608644
Four-Door Car,Premium,Offer1,Employed,Divorced,Master,3,113,441.623031,52572,9045.111945
Two-Door Car,Basic,Offer4,Employed,Married,Bachelor,1,73,90.094835,62018,2921.490461
Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,1,64,201.455005,76731,2582.408525
Four-Door Car,Basic,Offer1,Retired,Divorced,High School or Below,1,65,572.072106,22283,2397.036098
Four-Door Car,Basic,Offer1,Employed,Divorced,Bachelor,9,69,331.2,67798,5548.031892
SUV,Extended,Offer1,Employed,Married,Bachelor,2,126,720.054248,81955,15320.37177
Two-Door Car,Extended,Offer2,Employed,Married,Bachelor,2,88,631.743039,72540,10656.88195
Two-Door Car,Extended,Offer1,Disabled,Married,High School or Below,6,84,451.670309,22081,6503.397049
Four-Door Car,Basic,Offer4,Employed,Married,Bachelor,1,63,302.4,47285,2503.603127
Four-Door Car,Basic,Offer4,Unemployed,Single,College,1,71,747.107317,0,2379.614363
SUV,Extended,Offer2,Employed,Single,High School or Below,9,137,657.6,50607,10737.68425
Sports Car,Basic,Offer2,Employed,Married,Bachelor,2,109,94.731199,81197,21923.12272
Two-Door Car,Basic,Offer2,Medical Leave,Married,Bachelor,1,72,253.637853,10237,2620.601718
Four-Door Car,Extended,Offer1,Employed,Married,Bachelor,2,92,237.946822,85689,33451.7935
Four-Door Car,Extended,Offer1,Unemployed,Single,Bachelor,1,81,583.2,0,2848.564466
Four-Door Car,Extended,Offer1,Employed,Divorced,College,2,90,501.26513,86036,10719.08467
SUV,Basic,Offer1,Unemployed,Divorced,College,4,118,566.4,0,8714.922135
Four-Door Car,Extended,Offer1,Employed,Married,Doctor,9,91,365.835977,39786,7255.577594
